RB,2019,2020,2021,2022
481_1,40,43,43,NA
481_2,40,43,43,NA
481_3,0,NA,NA,NA
482_N,75,NA,NA,NA
482_S,75,NA,NA,NA
486_2,175,140,112,134
486_3,32,38,30,36
486_4,144,163,163,196
486_5,274,329,263,210
5841_1,115,138,138,138
5841_2,116,139,139,139
5841_3,149,119,119,119
5841_4,19,23,23,23
5841_5,50,60,60,60
5841_6,130,104,104,104
5842_1,50,60,60,72
5842_2,NA,NA,NA,55
5843a_1,30,24,19,19
5844b_1,19,23,18,NA
5844b_2,22,18,14,NA
882_1,240,192,192,230
882_2,240,232,186,223
882_3,160,182,170,204
882_4,160,128,128,154
882H,200,160,128,102
883_1,20,16,NA,16
883_2,25,20,NA,20
883_3,50,60,NA,60
883_4,50,60,NA,60
883_5,10,8,NA,8
883_6,30,30,NA,30
883_7,30,30,NA,30
883_8,10,10,NA,10
883_9,10,10,NA,10
883_10,10,10,NA,10
